FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E07000005,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E06000025,2015,Rank of scale,,111,c. Employment Deprivation Domain
E08000024,2015,Scale,,57813,b. Income Deprivation Domain
E07000103,2015,Scale,,9855,b. Income Deprivation Domain
E07000136,2015,Extent,,0.2,a. Index of Multiple Deprivation (IMD)
E09000028,2015,Scale,,25971,c. Employment Deprivation Domain
E07000103,2015,Rank of scale,,240,b. Income Deprivation Domain
E06000032,2015,Rank of scale,,80,c. Employment Deprivation Domain
E07000040,2015,Scale,,11680,b. Income Deprivation Domain
E07000078,2015,Rank of scale,,189,b. Income Deprivation Domain
E07000171,2015,Rank of extent,,105,a. Index of Multiple Deprivation (IMD)
E07000135,2015, Local concentration,,25195,a. Index of Multiple Deprivation (IMD)
E07000040,2015, Local concentration,,22507,a. Index of Multiple Deprivation (IMD)
E07000103,2015,Rank of extent,,223,a. Index of Multiple Deprivation (IMD)
E07000155,2015,Rank of extent,,295,a. Index of Multiple Deprivation (IMD)
E06000009,2015,Rank of scale,,62,c. Employment Deprivation Domain
E06000032,2015,Rank of extent,,57,a. Index of Multiple Deprivation (IMD)
E07000067,2015,Rank of extent,,225,a. Index of Multiple Deprivation (IMD)
E07000135,2015,Scale,,2706,c. Employment Deprivation Domain
E08000024,2015,Rank of scale,,16,c. Employment Deprivation Domain
E07000171,2015,Scale,,8426,c. Employment Deprivation Domain
E07000040,2015,Rank of local concentration,,258,a. Index of Multiple Deprivation (IMD)
E07000005,2015,Rank of local concentration,,310,a. Index of Multiple Deprivation (IMD)
E09000028,2015,Scale,,57935,b. Income Deprivation Domain
E06000032,2015,Scale,,36632,b. Income Deprivation Domain
E07000216,2015,Rank of scale,,282,b. Income Deprivation Domain
E09000028,2015,Rank of scale,,26,b. Income Deprivation Domain
E07000216,2015,Rank of local concentration,,311,a. Index of Multiple Deprivation (IMD)
E06000025,2015,Rank of extent,,263,a. Index of Multiple Deprivation (IMD)
E07000171,2015,Rank of scale,,157,b. Income Deprivation Domain
E09000026,2015,Extent,,0.08,a. Index of Multiple Deprivation (IMD)
E07000215,2015, Local concentration,,19013,a. Index of Multiple Deprivation (IMD)
E09000026,2015,Scale,,17259,c. Employment Deprivation Domain
E07000039,2015,Rank of extent,,196,a. Index of Multiple Deprivation (IMD)
E07000215,2015,Scale,,6034,b. Income Deprivation Domain
E07000134,2015,Extent,,0.05,a. Index of Multiple Deprivation (IMD)
E07000106,2015, Local concentration,,28067,a. Index of Multiple Deprivation (IMD)
E07000215,2015,Rank of scale,,294,b. Income Deprivation Domain
E07000106,2015,Extent,,0.09,a. Index of Multiple Deprivation (IMD)
E07000171,2015, Local concentration,,31154,a. Index of Multiple Deprivation (IMD)
E07000192,2015,Rank of scale,,170,b. Income Deprivation Domain
E07000067,2015, Local concentration,,24714,a. Index of Multiple Deprivation (IMD)
E06000033,2015,Extent,,0.25,a. Index of Multiple Deprivation (IMD)
E06000049,2015,Extent,,0.09,a. Index of Multiple Deprivation (IMD)
E09000026,2015,Rank of scale,,51,b. Income Deprivation Domain
E07000106,2015,Rank of scale,,140,c. Employment Deprivation Domain
E09000026,2015,Rank of scale,,68,c. Employment Deprivation Domain
E07000134,2015,Scale,,9930,b. Income Deprivation Domain
E06000049,2015,Scale,,18283,c. Employment Deprivation Domain
E09000026,2015,Scale,,42898,b. Income Deprivation Domain
E07000215,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E08000025,2015,Extent,,0.56,a. Index of Multiple Deprivation (IMD)
E09000026,2015, Local concentration,,27350,a. Index of Multiple Deprivation (IMD)
E07000192,2015,Rank of extent,,137,a. Index of Multiple Deprivation (IMD)
E08000025,2015,Rank of scale,,1,b. Income Deprivation Domain
E07000039,2015,Scale,,9202,b. Income Deprivation Domain
E07000134,2015,Rank of local concentration,,191,a. Index of Multiple Deprivation (IMD)
E07000039,2015, Local concentration,,26056,a. Index of Multiple Deprivation (IMD)
E07000106,2015,Rank of scale,,138,b. Income Deprivation Domain
E07000215,2015,Rank of local concentration,,297,a. Index of Multiple Deprivation (IMD)
E07000077,2015,Rank of scale,,302,b. Income Deprivation Domain
E07000192,2015,Extent,,0.15,a. Index of Multiple Deprivation (IMD)
E07000004,2015, Local concentration,,24413,a. Index of Multiple Deprivation (IMD)
E06000034,2015,Extent,,0.13,a. Index of Multiple Deprivation (IMD)
E07000106,2015,Scale,,17478,b. Income Deprivation Domain
E07000156,2015, Local concentration,,30558,a. Index of Multiple Deprivation (IMD)
E07000134,2015,Rank of extent,,200,a. Index of Multiple Deprivation (IMD)
E07000171,2015,Rank of local concentration,,77,a. Index of Multiple Deprivation (IMD)
E07000134,2015,Rank of scale,,236,b. Income Deprivation Domain
E07000106,2015,Scale,,8428,c. Employment Deprivation Domain
E06000049,2015,Rank of scale,,63,c. Employment Deprivation Domain
E07000004,2015,Scale,,6813,c. Employment Deprivation Domain
E07000236,2015,Rank of extent,,96,a. Index of Multiple Deprivation (IMD)
E07000078,2015,Scale,,6390,c. Employment Deprivation Domain
E07000039,2015,Rank of scale,,240,c. Employment Deprivation Domain
E07000039,2015,Extent,,0.05,a. Index of Multiple Deprivation (IMD)
E07000105,2015,Rank of scale,,166,b. Income Deprivation Domain
E08000024,2015,Rank of scale,,27,b. Income Deprivation Domain
E09000027,2015,Rank of local concentration,,272,a. Index of Multiple Deprivation (IMD)
E07000078,2015,Rank of scale,,189,c. Employment Deprivation Domain
E07000156,2015,Rank of extent,,97,a. Index of Multiple Deprivation (IMD)
E06000033,2015,Rank of extent,,79,a. Index of Multiple Deprivation (IMD)
E06000047,2015,Rank of scale,,5,c. Employment Deprivation Domain
E07000171,2015,Extent,,0.2,a. Index of Multiple Deprivation (IMD)
E07000216,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E07000135,2015,Rank of local concentration,,214,a. Index of Multiple Deprivation (IMD)
E07000105,2015,Scale,,6371,c. Employment Deprivation Domain
E08000024,2015, Local concentration,,31877,a. Index of Multiple Deprivation (IMD)
E06000047,2015,Scale,,50146,c. Employment Deprivation Domain
E06000009,2015,Rank of local concentration,,1,a. Index of Multiple Deprivation (IMD)
E07000216,2015, Local concentration,,16681,a. Index of Multiple Deprivation (IMD)
E06000047,2015,Rank of extent,,76,a. Index of Multiple Deprivation (IMD)
E09000027,2015,Rank of scale,,186,c. Employment Deprivation Domain
E07000189,2015,Extent,,0.06,a. Index of Multiple Deprivation (IMD)
E06000033,2015,Rank of scale,,90,b. Income Deprivation Domain
E09000027,2015,Rank of extent,,269,a. Index of Multiple Deprivation (IMD)
E06000047,2015,Extent,,0.26,a. Index of Multiple Deprivation (IMD)
E06000047,2015,Rank of local concentration,,73,a. Index of Multiple Deprivation (IMD)
E07000192,2015,Rank of local concentration,,146,a. Index of Multiple Deprivation (IMD)
E07000106,2015,Rank of extent,,165,a. Index of Multiple Deprivation (IMD)
E07000134,2015,Rank of scale,,226,c. Employment Deprivation Domain
E07000039,2015,Rank of local concentration,,197,a. Index of Multiple Deprivation (IMD)
E07000004,2015,Rank of extent,,230,a. Index of Multiple Deprivation (IMD)
E07000156,2015,Extent,,0.21,a. Index of Multiple Deprivation (IMD)
E07000078,2015,Extent,,0.12,a. Index of Multiple Deprivation (IMD)
E07000215,2015,Rank of extent,,295,a. Index of Multiple Deprivation (IMD)
E07000236,2015, Local concentration,,30057,a. Index of Multiple Deprivation (IMD)
E07000004,2015,Rank of scale,,178,c. Employment Deprivation Domain
E08000024,2015,Scale,,30254,c. Employment Deprivation Domain
E07000215,2015,Scale,,3067,c. Employment Deprivation Domain
E07000215,2015,Rank of scale,,292,c. Employment Deprivation Domain
E06000033,2015,Scale,,29542,b. Income Deprivation Domain
E06000033,2015,Rank of scale,,92,c. Employment Deprivation Domain
E07000236,2015,Rank of scale,,204,b. Income Deprivation Domain
E07000192,2015,Scale,,7460,c. Employment Deprivation Domain
E07000137,2015,Rank of extent,,65,a. Index of Multiple Deprivation (IMD)
E07000137,2015,Rank of scale,,110,c. Employment Deprivation Domain
E07000137,2015,Scale,,11442,c. Employment Deprivation Domain
E07000188,2015,Rank of extent,,135,a. Index of Multiple Deprivation (IMD)
E09000030,2015,Scale,,25850,c. Employment Deprivation Domain
E07000172,2015,Rank of local concentration,,194,a. Index of Multiple Deprivation (IMD)
E07000102,2015,Rank of local concentration,,248,a. Index of Multiple Deprivation (IMD)
E06000022,2015,Rank of scale,,150,b. Income Deprivation Domain
E07000005,2015,Scale,,5646,b. Income Deprivation Domain
E06000022,2015,Scale,,16133,b. Income Deprivation Domain
E07000102,2015,Rank of scale,,285,c. Employment Deprivation Domain
E07000218,2015,Rank of scale,,287,c. Employment Deprivation Domain
E07000079,2015,Rank of local concentration,,302,a. Index of Multiple Deprivation (IMD)
E06000010,2015,Rank of scale,,17,b. Income Deprivation Domain
E06000022,2015,Scale,,8040,c. Employment Deprivation Domain
E07000067,2015,Rank of scale,,149,b. Income Deprivation Domain
E07000188,2015,Rank of scale,,160,b. Income Deprivation Domain
E06000022,2015,Rank of local concentration,,211,a. Index of Multiple Deprivation (IMD)
E08000023,2015,Rank of scale,,69,c. Employment Deprivation Domain
E07000079,2015,Rank of extent,,295,a. Index of Multiple Deprivation (IMD)
E07000099,2015,Rank of scale,,200,b. Income Deprivation Domain
E07000041,2015, Local concentration,,28313,a. Index of Multiple Deprivation (IMD)
E07000034,2015,Scale,,17286,b. Income Deprivation Domain
E07000034,2015,Rank of scale,,130,c. Employment Deprivation Domain
E07000034,2015, Local concentration,,30802,a. Index of Multiple Deprivation (IMD)
E08000023,2015,Rank of local concentration,,70,a. Index of Multiple Deprivation (IMD)
E07000067,2015,Scale,,16306,b. Income Deprivation Domain
E07000041,2015,Extent,,0.11,a. Index of Multiple Deprivation (IMD)
E07000067,2015,Rank of scale,,154,c. Employment Deprivation Domain
E07000155,2015,Scale,,4945,b. Income Deprivation Domain
E07000034,2015,Rank of scale,,140,b. Income Deprivation Domain
E07000137,2015, Local concentration,,31694,a. Index of Multiple Deprivation (IMD)
E09000030,2015,Rank of scale,,15,b. Income Deprivation Domain
E09000030,2015, Local concentration,,31115,a. Index of Multiple Deprivation (IMD)
E07000102,2015,Scale,,3418,c. Employment Deprivation Domain
E09000030,2015,Rank of local concentration,,80,a. Index of Multiple Deprivation (IMD)
E07000217,2015,Rank of extent,,256,a. Index of Multiple Deprivation (IMD)
E06000010,2015,Scale,,31934,c. Employment Deprivation Domain
E09000030,2015,Extent,,0.57,a. Index of Multiple Deprivation (IMD)
E09000030,2015,Rank of extent,,3,a. Index of Multiple Deprivation (IMD)
E08000023,2015,Rank of scale,,80,b. Income Deprivation Domain
E07000079,2015, Local concentration,,18478,a. Index of Multiple Deprivation (IMD)
E06000022,2015,Extent,,0.04,a. Index of Multiple Deprivation (IMD)
E07000137,2015,Scale,,23227,b. Income Deprivation Domain
E08000023,2015,Scale,,17129,c. Employment Deprivation Domain
E09000031,2015,Scale,,50502,b. Income Deprivation Domain
E09000031,2015,Rank of local concentration,,106,a. Index of Multiple Deprivation (IMD)
E06000019,2015,Scale,,20434,b. Income Deprivation Domain
E08000022,2015,Rank of scale,,73,c. Employment Deprivation Domain
E07000079,2015,Extent,,0.0000,a. Index of Multiple Deprivation (IMD)
E07000033,2015,Rank of extent,,102,a. Index of Multiple Deprivation (IMD)
E07000041,2015,Rank of local concentration,,159,a. Index of Multiple Deprivation (IMD)
E07000188,2015,Rank of local concentration,,136,a. Index of Multiple Deprivation (IMD)
E07000138,2015, Local concentration,,32091,a. Index of Multiple Deprivation (IMD)
E07000138,2015,Scale,,16645,b. Income Deprivation Domain
E09000031,2015,Rank of extent,,51,a. Index of Multiple Deprivation (IMD)
E07000218,2015, Local concentration,,26239,a. Index of Multiple Deprivation (IMD)
E07000138,2015,Rank of extent,,54,a. Index of Multiple Deprivation (IMD)
E08000022,2015,Extent,,0.2,a. Index of Multiple Deprivation (IMD)
E07000033,2015,Rank of scale,,190,b. Income Deprivation Domain
E07000033,2015,Rank of scale,,177,c. Employment Deprivation Domain
E07000041,2015,Rank of scale,,182,b. Income Deprivation Domain
E06000010,2015,Rank of extent,,8,a. Index of Multiple Deprivation (IMD)
E07000138,2015,Extent,,0.32,a. Index of Multiple Deprivation (IMD)
E07000218,2015,Rank of scale,,289,b. Income Deprivation Domain
E06000010,2015,Scale,,65818,b. Income Deprivation Domain
E07000188,2015, Local concentration,,29415,a. Index of Multiple Deprivation (IMD)
E07000099,2015, Local concentration,,23660,a. Index of Multiple Deprivation (IMD)
E07000041,2015,Scale,,7286,c. Employment Deprivation Domain
E07000034,2015,Rank of local concentration,,92,a. Index of Multiple Deprivation (IMD)
E07000218,2015,Rank of local concentration,,195,a. Index of Multiple Deprivation (IMD)
E07000235,2015,Rank of extent,,197,a. Index of Multiple Deprivation (IMD)
E06000010,2015,Extent,,0.54,a. Index of Multiple Deprivation (IMD)
E07000218,2015,Rank of extent,,191,a. Index of Multiple Deprivation (IMD)
E07000155,2015, Local concentration,,14070,a. Index of Multiple Deprivation (IMD)
E09000031,2015,Rank of scale,,47,c. Employment Deprivation Domain
E07000034,2015,Rank of extent,,74,a. Index of Multiple Deprivation (IMD)
E06000022,2015, Local concentration,,25353,a. Index of Multiple Deprivation (IMD)
E08000023,2015, Local concentration,,31300,a. Index of Multiple Deprivation (IMD)
E09000031,2015,Rank of scale,,38,b. Income Deprivation Domain
E09000031,2015,Extent,,0.33,a. Index of Multiple Deprivation (IMD)
E07000154,2015,Extent,,0.27,a. Index of Multiple Deprivation (IMD)
E06000022,2015,Rank of extent,,204,a. Index of Multiple Deprivation (IMD)
E07000033,2015,Scale,,6824,c. Employment Deprivation Domain
E06000022,2015,Rank of scale,,144,c. Employment Deprivation Domain
E07000137,2015,Rank of scale,,111,b. Income Deprivation Domain
E09000031,2015, Local concentration,,30404,a. Index of Multiple Deprivation (IMD)
E06000024,2015,Extent,,0.11,a. Index of Multiple Deprivation (IMD)
E07000189,2015, Local concentration,,27107,a. Index of Multiple Deprivation (IMD)
E07000136,2015,Rank of scale,,255,b. Income Deprivation Domain
E07000103,2015,Rank of local concentration,,221,a. Index of Multiple Deprivation (IMD)
E07000079,2015,Rank of scale,,293,b. Income Deprivation Domain
E09000029,2015,Extent,,0.06,a. Index of Multiple Deprivation (IMD)
E07000189,2015,Scale,,16651,b. Income Deprivation Domain
E09000029,2015,Rank of scale,,118,b. Income Deprivation Domain
E07000171,2015,Rank of scale,,141,c. Employment Deprivation Domain
E06000024,2015,Rank of local concentration,,105,a. Index of Multiple Deprivation (IMD)
E07000078,2015,Rank of extent,,147,a. Index of Multiple Deprivation (IMD)
E06000024,2015,Rank of extent,,156,a. Index of Multiple Deprivation (IMD)
E07000136,2015,Rank of local concentration,,152,a. Index of Multiple Deprivation (IMD)
E06000010,2015, Local concentration,,32691,a. Index of Multiple Deprivation (IMD)
E07000172,2015,Rank of extent,,192,a. Index of Multiple Deprivation (IMD)
E07000102,2015,Rank of scale,,284,b. Income Deprivation Domain
E07000155,2015,Rank of local concentration,,315,a. Index of Multiple Deprivation (IMD)
E07000217,2015,Rank of scale,,276,b. Income Deprivation Domain
E07000005,2015,Scale,,2791,c. Employment Deprivation Domain
E07000136,2015,Rank of extent,,109,a. Index of Multiple Deprivation (IMD)
E07000236,2015,Scale,,11751,b. Income Deprivation Domain
E06000032,2015,Extent,,0.31,a. Index of Multiple Deprivation (IMD)
E07000078,2015, Local concentration,,28844,a. Index of Multiple Deprivation (IMD)
E06000025,2015,Scale,,23027,b. Income Deprivation Domain
E07000189,2015,Rank of scale,,144,b. Income Deprivation Domain
E07000103,2015,Extent,,0.03,a. Index of Multiple Deprivation (IMD)
E09000029,2015,Rank of local concentration,,183,a. Index of Multiple Deprivation (IMD)
E07000103,2015, Local concentration,,24973,a. Index of Multiple Deprivation (IMD)
E07000103,2015,Scale,,4868,c. Employment Deprivation Domain
E09000029,2015,Scale,,21425,b. Income Deprivation Domain
E07000136,2015,Scale,,9039,b. Income Deprivation Domain
E06000025,2015,Rank of local concentration,,251,a. Index of Multiple Deprivation (IMD)
E07000078,2015,Scale,,12683,b. Income Deprivation Domain
E07000217,2015,Scale,,3710,c. Employment Deprivation Domain
E07000136,2015, Local concentration,,28743,a. Index of Multiple Deprivation (IMD)
E06000010,2015,Rank of scale,,13,c. Employment Deprivation Domain
E07000171,2015,Scale,,15360,b. Income Deprivation Domain
E06000032,2015,Rank of local concentration,,113,a. Index of Multiple Deprivation (IMD)
E07000103,2015,Rank of scale,,242,c. Employment Deprivation Domain
